ArtistId,ArtistName,TotalTrack
150,U2,224
50,Metallica,213
22,Led Zeppelin,208
90,Iron Maiden,190
90,Iron Maiden,162
118,Pearl Jam,108
152,Van Halen,104
113,Os Paralamas Do Sucesso,98
149,Lost,96
58,Deep Purple,92
149,Lost,88
142,The Rolling Stones,82
146,Tit�s,76
51,Queen,73
156,The Office,72
131,Smashing Pumpkins,68
99,Legi�o Urbana,62
127,Red Hot Chili Peppers,62
145,Tim Maia,60
100,Lenny Kravitz,60
139,The Cult,60
110,Nirvana,58
90,Iron Maiden,56
88,Guns N' Roses,56
101,Lulu Santos,56
124,R.E.M.,54
84,Foo Fighters,54
143,The Tea Party,52
42,Milton Nascimento,52
68,Miles Davis,51
52,Kiss,50
158,Battlestar Galactica (Classic),48
85,Frank Sinatra,48
54,Green Day,47
150,U2,46
130,Skank,46
59,Santana,41
76,Creedence Clearwater Revival,40
91,James Brown,40
148,Heroes,40
144,The Who,40
155,Zeca Pagodinho,38
137,The Black Crowes,38
180,House Of Pain,38
82,Faith No More,37
103,Marisa Monte,36
104,Marvin Gaye,36
114,Ozzy Osbourne,36
18,Chico Science & Na��o Zumbi,36
138,The Clash,36
36,O Rappa,34
127,Red Hot Chili Peppers,34
94,Jimi Hendrix,34
17,Chico Buarque,34
132,Soundgarden,34
156,The Office,34
109,M�tley Cr�e,34
81,Eric Clapton,32
98,Judas Priest,32
86,Funk Como Le Gusta,32
121,Planet Hemp,32
81,Eric Clapton,32
19,Cidade Negra,31
111,O Ter�o,30
106,Mot�rhead,30
27,Gilberto Gil,30
72,Vin�cius De Moraes,30
53,Spyro Gyra,30
77,C�ssia Eller,30
21,Various Artists,28
124,R.E.M.,28
114,Ozzy Osbourne,28
141,The Police,28
97,Jo�o Suplicy,28
205,Chris Cornell,28
46,Jorge Ben,28
27,Gilberto Gil,28
126,Raul Seixas,28
8,Audioslave,28
151,UB40,28
112,Olodum,28
128,Rush,28
116,Passengers,28
100,Lenny Kravitz,28
88,Guns N' Roses,28
100,Lenny Kravitz,26
80,Djavan,26
147,Battlestar Galactica,26
93,JET,26
153,Velvet Revolver,26
118,Pearl Jam,26
89,Incognito,26
115,Page & Plant,24
252,Amy Winehouse,24
179,Scorpions,24
87,Godsmack,24
96,Jota Quest,24
108,M�nica Marianno,24
134,Stone Temple Pilots,24
84,Foo Fighters,22
92,Jamiroquai,22
135,System Of A Down,22
140,The Doors,22
69,Gene Krupa,22
252,Amy Winehouse,22
122,R.E.M. Feat. Kate Pearson,22
92,Jamiroquai,22
16,Caetano Veloso,21
102,Marillion,20
95,Joe Satriani,20
204,Temple of the Dog,20
125,Raimundos,20
92,Jamiroquai,20
105,Men At Work,20
117,Paul D'Ianno,20
133,Stevie Ray Vaughan & Double Trouble,20
11,Black Label Society,18
90,Iron Maiden,18
120,Pink Floyd,18
1,AC/DC,18
6,Ant�nio Carlos Jobim,17
24,Marcos Valle,17
12,Black Sabbath,17
13,Body Count,17
78,Def Leppard,16
82,Faith No More,15
70,Toquinho & Vin�cius,15
3,Aerosmith,15
41,Elis Regina,14
8,Audioslave,14
21,Various Artists,14
56,Gonzaguinha,14
136,"Terry Bozzio, Tony Levin & Steve Stevens",14
6,Ant�nio Carlos Jobim,14
83,Falamansa,14
37,Ed Motta,14
21,Various Artists,14
57,Os Mutantes,14
4,Alanis Morissette,13
5,Alice In Chains,12
9,BackBeat,12
8,Audioslave,12
55,David Coverdale,12
14,Bruce Dickinson,11
15,Buddy Guy,11
20,Cl�udio Zoli,10
147,Battlestar Galactica,10
79,Dennis Chambers,9
23,Frank Zappa & Captain Beefheart,9
7,Apocalyptica,8
10,Billy Cobham,8
27,Gilberto Gil,6
226,Eugene Ormandy,6
148,Heroes,6
248,Berliner Philharmoniker & Herbert Von Karajan,6
214,Academy of St. Martin in the Fields & Sir Neville Marriner,4
2,Accept,4
147,Battlestar Galactica,4
199,Karsh Kale,4
247,The King's Singers,4
